ext,category,UPI,HI,FPI,AI,PCI,LI,WHI,UAI,WCI,DI,PS,FS,Total Finded
hjpabbdnmkdifemnikbiecgkgnjipofj,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,9
enjfepjlbnehlncagcbplbpemofodgdc,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,10
oblimkbkkccdjhkfljbhbekfpohjillc,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,8
gelegjgeophipalhmihfnlococjdlclm,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,11
dpmjkbfpciagadmabadpflnhlkhcaaii,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,6
ejnnjbdiehpgikhapbembdllfmolknmi,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,9
djgcpgfednpfkdhoodgiokdelmefkine,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,4
ndbdjjgcjmdenadephbmglknakcnalil,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,7
akncjgblpooaigmieecjiigaebgblnaj,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,5
enknnejopkkcbplflkjmggkgdihnphbf,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
okcpiimdfkpkjcbihbmhppldhiebhhaf,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,5
haonheiigpghcmjgogfbnmeehfllhbbd,Accessibility,1,0,0,1,0,0,0,1,1,1,0,0,8
noapiahhhhccobnbmaajnmadmjjaeadg,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
akjhnbnjanndggbcegmdggfjjclohjpo,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
mfnjjaepidhpfefdbjibbjdfkhicknpb,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,2
ejlpdggljbilpbpegpemlioncoakcimk,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,10
mbkdgaippnfnmcfdjkagjmbomhmdjjlb,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
gphjkkbkmaiccfnhcoiibpkfpmpnkfeb,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,9
aeblekonbpcjmpcmodmonjcgdcdemdig,Accessibility,0,0,0,0,0,0,0,0,0,0,0,0,15
inhefjomnpfkkegfklclbjhkifmpkkmn,Accessibility,0,0,0,0,0,0,0,0,1,0,0,0,8
epianflclchieodjedoampbgdblbpldm,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,8
cmedmlmcjgoofigkcnfldefbkgdnhndb,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,5
iekijanpfmnhhpkabojigmglmmfgknoa,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,7
ccfpbbkdocgnnhifmicmcaafmolagdja,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
pmgkjjpbajhkehjmopponglohmidpppg,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
fkgbbcpdghmahjidddepeighkcdlihmp,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,7
fbcohnmimjicjdomonkcbcpbpnhggkip,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,9
dceefkagippahflahjkiapelilbalpmo,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,5
hlldaigopbcaeejdnoocjpcpadkagmcd,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,11
kclcheeeodgkddfbhjjfnofifkjbieof,Accessibility,1,0,0,1,0,0,0,0,1,1,0,0,11
idofkhpjfifefoighnpalajbdjgngcph,Accessibility,1,0,0,0,0,0,0,0,1,1,0,0,4
jknjjgiighcgcmlflkiicacmhbkleajg,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,6
gfimipfmbiohbdjmbmmljponpjmhhokl,Accessibility,0,0,0,0,0,0,0,1,1,0,0,0,12
hdgegmlancchhhlkkddoiedlklgocffm,Accessibility,0,0,0,0,0,0,0,1,1,1,0,0,12
icfcofbhpapplokfmbgllcfehkbaadap,Accessibility,0,0,0,0,0,0,0,1,0,1,0,0,8
jbhmglllgkjijmanjbnpcpdlopbfcdkk,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,9
oppcghdbglmbhhobfoodedhokbadlenh,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,17
eobhfnijalkolbbmdoonheekjidkoojd,Accessibility,0,0,0,0,0,0,0,0,0,1,0,0,10
dilceaoodnlblhdppoancjplcmihblmj,Accessibility,0,0,0,0,0,0,0,0,1,1,0,0,6
